,Document,Topic,Name,Top_n_words,Probability,Representative_document
800,how much did john salley smoke before saying this,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
815,republic broadcasting network creepy joe is blowing smoke up your backside!,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.789717314,FALSE
825,that man denji be making me laugh on how he be acting . and still be with the smoke /7,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
826,share some of them smoke buddy! guess we all need it. hahaha,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.366230197,FALSE
829,rt : smoke and chill,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.990056255,FALSE
834,this wasnt like a silent falling out or anything either he brought up the fact that i didnt smoke him out for free all the time as a point of contention.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
843,llevo como aos dndole al vape y ando enterito,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.814897224,FALSE
846,"when you're done, get yourself a puppers and have a smoke.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
868,rt : he probably eats avocado toast while he's quietly vaping.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.764399542,FALSE
889,and... it turns out that he did complain about the smell of smoke in the morning,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
893,"rt : this dude cant even spell, but hes over education? make it make sense. i have nothing but smoke for him!",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.87368187,FALSE
895,rip that one guy who lights a smoke inside.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
905,rt : no bcs he cried when someone said that to him abd had to play it off as smoke getting in his,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
907,"larry, call a load of smoke in.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.991367314,FALSE
914,cole &amp; zanab were horrible to each other. i hate that cole caught all the smoke but zanab was a witch to him as well. #loveisblind,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
915,rt : mfs against nft royalties are the same ones that always wanna smoke but never have weed.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
917,rt : fine nigga been walking by my house everyday since he seen my door wide open w me shakin ass. he asked if i smoke so i,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.820831041,FALSE
926,tenia un amigo que me prestaba su vape de pororo y no habia algo mas rico y horrible al mismo tiempo. te asqueaba pero al mismo tiempo no podias parar,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.378646145,FALSE
940,"we dont smoke bho, u fresh pull but when i get sober im an asshole .",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.791844136,FALSE
943,"the last thing to forget is not liu nian, but the clouds and smoke of looking back. #1111",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
963,"and take my milk for gall, you murdering ministers, wherever in your sightless substances you wait on natures mischief! come, thick night, and pall thee in the dunnest smoke of hell,",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.316723958,FALSE
983,rt : cum suck me while i smoke this blunt,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.908120904,FALSE
993,see me when u see me if its smoke dawg unleash it,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.811137352,FALSE
1008,see me when u see me if its smoke dawg then unleash it,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.830606345,FALSE
1019,all that smoke they had for cole really needed to be directed at matt. he made it out unscathed. colleen is not safe! #loveisblind,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1021,all i wanna do for my birthday is smoke until i cant remember my name &amp; spend money thats not mine,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.908859831,FALSE
1028,rt : ride me while i smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.954308677,FALSE
1045,ya se me antojo un vape de pozole,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.429988862,FALSE
1049,nmms como se ponen cuando no encuentran su vape,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.340324193,FALSE
1050,"im so confused at why he got no smoke at the reunion. im also irritated at how nancy protected him at the wedding. im also irritated at nancy for coming to the reunion and looking disheveled. if youre seeing your ex, look impeccable; her hair looked like ray charles did it",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.90873007,FALSE
1054,and i was here for it! cole didnt deserve the smoke they were giving him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1060,rt : can yall watch my son while i go smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1068,"gyuboo from the smoke in your hair to the blood in your bruise, and the bows on the shoes you kicked off, i'm joining the dots",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.488311128,FALSE
1069,rt : yall are vaping like you have health insurance,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.695656507,FALSE
1076,the uni accoms got a mouse infestation an one walked up to me an the little bastards actually quite cute im gonna set him free before the exterminators smoke him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.742089578,FALSE
1086,what kind of weed did the lastma official smoke that boosted his morale?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1094,rt : im going to put him in a bong and smoke him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1104,see me when you see me if its smoke dawg then unleash it,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.974343961,FALSE
1105,rt : met homie at the park chilling he invited me to his place to smoke i already knew what else he was onwe had a nice fli,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.98689623,FALSE
1110,"see me when u see me dawg, if its smoke unleash it",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.729494945,FALSE
1146,a girl in my class got caught vaping,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.348437958,FALSE
1157,rt : yall love that musty ass noxious smoke lol,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.98444173,FALSE
1164,rt : how many blunts of weed can you smoke in a day?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1202,i need bitches to smoke one w,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.93012033,FALSE
1209,rt : can we smoke and fuck pls pls pls? clickthelink,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.695440066,FALSE
1211,"he said see me when you see me, if it's smoke, dawg ya unleash it",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.375590403,FALSE
1213,rt : single and need somebody to smoke with (neighbor was dtm),0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1222,"rt : see me when you see me, if its smoke, dawg, youre unleashy",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.747173752,FALSE
1247,he sent me a thicc tip tho &amp; a deposit for our date so ima do my lil makeup &amp; smoke my lil ouid til im in the mood to put up with him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.874899115,FALSE
1252,"coulda told you that when he was trying to spontaneously learn to read the newspaper so he didnt embarrass himself in front of mihawk, you can practically see smoke coming out of his ears",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1259,i do!! i cant smoke often because of it otherwise i throw up,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.967009651,FALSE
1269,"in my defense, ive had a beer, a joint, some vape and an edible",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.417363011,FALSE
1272,the accuracy i cant move thats why i dont smoke be stuck like a mf,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
1275,i swear i don't even be high but when you see me smiling i'm thinking high thoughts and trying not to laugh. this is when i'm sober. ps. i don't smoke like that no more,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.994168089,FALSE
1277,that is the question : cum or smoke around his lips ? its important to know,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.969998109,FALSE
1281,#justasking congratulations garu you stood on ur stand of quitting smoking its been one week now so kind now last week he felt bad for the emotion towards #geetu not for the smoke hence proved.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.698431978,FALSE
1286,she got a mint vape thatssss my girl,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.901742034,FALSE
1289,rt : since mama let our bum uncle move in all he do is smoke and come in my room to fuck me. mama knows what he be doing to me but,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.813671464,FALSE
1304,", on his way to the caff to smoke an after-dinner cavour # # # # # # # #",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.810456273,FALSE
1305,"i agree with the first point, but vaping in schools is rife ian.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.730589955,FALSE
1315,"what do you think about vaping then, dunty? hmm?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.813784104,FALSE
1316,"first, you need to quantify what it is you're scared for your kids for. if you can't, then it's ""because i said so"" and it was a crap reason when our parents said it to us if yu have a real belief that vaping is dangerous, then go for it, but back that reason up with evidence.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.670150125,FALSE
